k,x,mind,final,cagr,mdd,qld3,qld5,dotcom
10,7.000000000000001,1,125.63465594258146,19.894015394204835,-46.62278130284805,42.84511784511785,48.713235294117645,-17.22244073946042
10,7.000000000000001,2,125.5426241030727,19.890717348415386,-46.62278130284805,42.84511784511785,48.713235294117645,-17.22244073946042
10,7.000000000000001,3,127.02557581765757,19.943579154500647,-46.62278130284805,42.84511784511785,48.713235294117645,-17.22244073946042
10,7.000000000000001,4,133.81780617906196,20.178347661071694,-46.62278130284805,42.84511784511785,54.87132352941176,-17.22244073946042
10,7.000000000000001,5,135.26284028870026,20.226811852771775,-46.62278130284805,42.92929292929293,54.87132352941176,-17.22244073946042
10,7.000000000000001,6,132.1371986238903,20.121345080559806,-46.62278130284805,42.84511784511785,54.87132352941176,-17.22244073946042
10,7.000000000000001,7,132.55042928594395,20.135425392254326,-46.62278130284805,42.84511784511785,54.87132352941176,-17.22244073946042
10,7.000000000000001,8,130.2696888523384,20.057178849495937,-46.62278130284805,42.84511784511785,48.80514705882353,-17.22244073946042
10,7.000000000000001,9,140.94236933531045,20.412586186017844,-46.62278130284805,43.013468013468014,54.87132352941176,-17.22244073946042
10,7.000000000000001,10,140.94236933531045,20.412586186017844,-46.62278130284805,43.013468013468014,54.87132352941176,-17.22244073946042
10,7.000000000000001,11,139.08038735036132,20.35248827002163,-46.62278130284805,42.84511784511785,54.87132352941176,-17.22244073946042
10,7.000000000000001,12,137.6558036221994,20.30598276243154,-46.62278130284805,42.84511784511785,54.779411764705884,-17.22244073946042
10,7.000000000000001,13,135.74253115696263,20.242789821741304,-46.62278130284804,42.76094276094276,54.779411764705884,-17.22244073946042
10,7.000000000000001,14,135.651154110945,20.239750348479003,-46.62278130284804,42.76094276094276,54.779411764705884,-17.22244073946042
10,7.000000000000001,15,133.47808732515006,20.16688090731913,-46.62278130284804,42.76094276094276,54.779411764705884,-17.22244073946042
10,7.000000000000001,16,131.11930230332075,20.086479962797487,-46.62278130284805,42.676767676767675,54.779411764705884,-17.22244073946042
